trade_date,stock_id,leader_id,sector_id,score_sector,score_leader,score_follow,score_total,suggest_entry,suggest_stop,position_value,shares,lots_1000,stock_name,market,themes
2025-12-26,1303,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.08715318897838766,0.9011118549711679,57.5,,,,,南亞,TWSE,UNKNOWN
2025-12-26,2881,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.08924779761297817,0.9002740115173317,97.0,,,,,富邦金,TWSE,UNKNOWN
2025-12-26,6285,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.09605826797344649,0.8975498233731444,101.0,,,,,啟碁,TWSE,UNKNOWN
2025-12-26,2369,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.6083824034818143,0.8320374847789929,23.4,,,,,菱生,TWSE,UNKNOWN
2025-12-26,3055,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.5993355997609454,0.8284187632906453,82.5,,,,,蔚華科,TWSE,UNKNOWN
2025-12-26,2497,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.5806460106718561,0.8209429276550096,49.95,,,,,怡利電,TWSE,UNKNOWN
2025-12-26,3002,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.5718771701877046,0.817435391461349,27.9,,,,,歐格,TWSE,UNKNOWN
2025-12-26,1618,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.5626243857082913,0.8137342776695837,43.65,,,,,合機,TWSE,UNKNOWN
2025-12-26,6272,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.5547284137098216,0.8105758888701958,48.8,,,,,驊陞,TWSE,UNKNOWN
2025-12-26,4989,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.4781973027159619,0.779963444472652,47.8,,,,,榮科,TWSE,UNKNOWN
2025-12-26,2367,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.4731185554456643,0.7779319455645329,28.35,,,,,燿華,TWSE,UNKNOWN
2025-12-26,6706,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.4400873986919087,0.7647194828630307,134.0,,,,,惠特,TWSE,UNKNOWN
2025-12-26,6214,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.4330806495246392,0.7619167831961229,123.0,,,,,精誠,TWSE,UNKNOWN
2025-12-26,00738U,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.4264217775781194,0.7592532344175149,61.75,,,,,期元大道瓊白銀,TWSE,UNKNOWN
2025-12-26,6796,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.41190580008753425,0.7534468434212809,104.5,,,,,晉弘,TWSE,UNKNOWN
2025-12-26,8103,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.40528472452482794,0.7507984131961984,86.7,,,,,瀚荃,TWSE,UNKNOWN
2025-12-26,2406,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.39996976119792627,0.7486724278654378,27.3,,,,,國碩,TWSE,UNKNOWN
2025-12-26,1808,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.3959768453722635,0.7470752615351726,35.2,,,,,潤隆,TWSE,UNKNOWN
2025-12-26,6235,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.39574705958415857,0.7469833472199306,65.0,,,,,華孚,TWSE,UNKNOWN
2025-12-26,3715,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.3626077275635673,0.7337276144116941,123.5,,,,,定穎投控,TWSE,UNKNOWN
2025-12-26,3060,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.35811169189327274,0.7319292001435763,34.5,,,,,銘異,TWSE,UNKNOWN
2025-12-26,3149,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.3442901882159547,0.7264005986726491,32.55,,,,,正達,TWSE,UNKNOWN
2025-12-26,3045,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.34242949033726944,0.7256563195211749,111.5,,,,,台灣大,TWSE,UNKNOWN
2025-12-26,4927,2009,UNKNOWN,0.03144183939290973,2.310719518394995,0.3396118724965958,0.7245292723849055,35.25,,,,,泰鼎-KY,TWSE,UNKNOWN
